PATH,VALUE,LABEL
name,2.6.1,IRRELEVANT
version,5.2.15-2+b2,IRRELEVANT
builds[].build_id,1:2.38.1-5+b1,IRRELEVANT
components[].id,9.1-1,IRRELEVANT
artifacts[].issues[].PackageName,9.1-1,IRRELEVANT
builds,12.2.0-14,IRRELEVANT
MetaData.OS,12.2.0-14,IRRELEVANT
name,2.2.40-1.1,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,2.6.1,IRRELEVANT
builds[].build_id,2.38.1-5+b1,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,2.36-9+deb12u3,IRRELEVANT
components[].id,2.36-9+deb12u3,IRRELEVANT
Results[].vulnerabilities[].PkgName,2.36-9+deb12u3,IRRELEVANT
resultsPerPage,2.36-9+deb12u3,IRRELEVANT
resultsPerPage,2.36-9+deb12u3,IRRELEVANT
ImageId,2.36-9+deb12u3,IRRELEVANT
artifacts[].issues[].Package_Version,2.36-9+deb12u3,IRRELEVANT
builds[].build_name,2.36-9+deb12u3,IRRELEVANT
MetaData.ImageID,2.36-9+deb12u3,IRRELEVANT
components[].id,2.36-9+deb12u3,IRRELEVANT
Resource.name,2.36-9+deb12u3,IRRELEVANT
format,2.36-9+deb12u3,IRRELEVANT
format,2.36-9+deb12u3,IRRELEVANT
builds[].build_name,2.36-9+deb12u3,IRRELEVANT
resultsPerPage,2.36-9+deb12u3,IRRELEVANT
builds[].build_name,2.36-9+deb12u3,IRRELEVANT
version,2.36-9+deb12u3,IRRELEVANT
version,2.36-9+deb12u3,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,2.36-9+deb12u3,IRRELEVANT
MetaData,2.36-9+deb12u3,IRRELEVANT
ImageId,2.36-9+deb12u3,IRRELEVANT
timestamp,2.36-9+deb12u3,IRRELEVANT
artifacts[].issues[].PackageName,2.36-9+deb12u3,IRRELEVANT
artifacts[].issues[].PackageName,2.36-9+deb12u3,IRRELEVANT
Results[].vulnerabilities[].PkgName,2.36-9+deb12u3,IRRELEVANT
MetaData.ImageID,2.36-9+deb12u3,IRRELEVANT
builds,2.36-9+deb12u3,IRRELEVANT
artifacts[].issues[].PackageName,2.36-9+deb12u3,IRRELEVANT
name,12.2.0-14,IRRELEVANT
builds[].id,12.2.0-14,IRRELEVANT
builds,1.10.1-3,IRRELEVANT
timestamp,3.7.9-2+deb12u1,IRRELEVANT
artifacts[].issues[].Package_Version,1.20.1-2+deb12u1,IRRELEVANT
version,1.20.1-2+deb12u1,IRRELEVANT
format,1.20.1-2+deb12u1,IRRELEVANT
artifacts[].issues[].cvss,1.20.1-2+deb12u1,IRRELEVANT
MetaData,2.38.1-5+b1,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,2.38.1-5+b1,IRRELEVANT
artifacts[].issues[].Package_Version,3.0.11-1~deb12u2,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,3.0.11-1~deb12u2,IRRELEVANT
components[].id,3.0.11-1~deb12u2,IRRELEVANT
builds[].id,12.2.0-14,IRRELEVANT
MetaData,12.2.0-14,IRRELEVANT
components[].id,252.19-1~deb12u1,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,252.19-1~deb12u1,IRRELEVANT
MetaData,252.19-1~deb12u1,IRRELEVANT
version,252.19-1~deb12u1,IRRELEVANT
resultsPerPage,6.4-4,IRRELEVANT
resultsPerPage,252.19-1~deb12u1,IRRELEVANT
Results[].vulnerabilities[].InstalledVersion,252.19-1~deb12u1,IRRELEVANT
artifacts[].issues[].cvss,252.19-1~deb12u1,IRRELEVANT
MetaData.ImageID,252.19-1~deb12u1,IRRELEVANT
version,2.38.1-5+b1,IRRELEVANT
ImageId,6.1.67-1,IRRELEVANT
artifacts[].issues[].Package_Version,6.1.67-1,IRRELEVANT
MetaData,6.1.67-1,IRRELEVANT
MetaData.ImageID,6.1.67-1,IRRELEVANT
builds[].build_name,6.1.67-1,IRRELEVANT
Resource.name,6.1.67-1,IRRELEVANT
Results[].vulnerabilities[].PkgName,6.1.67-1,IRRELEVANT
builds[].build_id,6.1.67-1,IRRELEVANT
ImageId,6.1.67-1,IRRELEVANT
builds[].build_id,6.1.67-1,IRRELEVANT
builds[].build_id,6.1.67-1,IRRELEVANT
builds,6.1.67-1,IRRELEVANT
MetaData,6.1.67-1,IRRELEVANT
MetaData.OS,6.1.67-1,IRRELEVANT
format,6.1.67-1,IRRELEVANT
version,6.1.67-1,IRRELEVANT
artifacts[].issues[].PackageName,6.1.67-1,IRRELEVANT
Results[].vulnerabilities[].PkgName,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
builds[].build_id,6.1.67-1,IRRELEVANT
builds[].build_id,6.1.67-1,IRRELEVANT
resultsPerPage,6.1.67-1,IRRELEVANT
builds[].id,6.1.67-1,IRRELEVANT
builds[].id,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
MetaData.ImageID,6.1.67-1,IRRELEVANT
Results[].vulnerabilities[].PublishedDate,6.1.67-1,IRRELEVANT
builds[].build_name,6.1.67-1,IRRELEVANT
MetaData,6.1.67-1,IRRELEVANT
components[].id,6.1.67-1,IRRELEVANT
timestamp,6.1.67-1,IRRELEVANT
artifacts[].issues[].PackageName,6.1.67-1,IRRELEVANT
builds,6.1.67-1,IRRELEVANT
MetaData.ImageID,6.1.67-1,IRRELEVANT
version,6.1.67-1,IRRELEVANT
MetaData.OS,6.1.67-1,IRRELEVANT
Resource.name,6.1.67-1,IRRELEVANT
Results[].vulnerabilities[].PkgName,6.1.67-1,IRRELEVANT
